"BIO-human-gene2", 14340,9041364,7228,1259,22.7439,0.00158604,630.5,
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1032
25,0
26,0
27,0
28,1010
29,1081
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,694
62,751
63,665
64,448
65,1493
66,822
67,1260
68,995
69,1719
70,346
71,872
72,261
73,689
74,2499
75,2059
76,1109
77,891
78,339
79,598
80,2010
81,111
82,4958
83,794
84,547
85,415
86,248
87,1711
88,990
89,401
90,928
91,416
92,286
93,1075
94,537
95,362
96,571
97,2224
98,498
99,3015
100,3211
101,1081
102,648
103,1364
104,1617
105,645
106,957
107,2334
108,946
109,336
110,1797
111,549
112,1734
113,400
114,484
115,661
116,1723
117,1756
118,1527
119,849
120,845
121,248
122,353
123,1629
124,1385
125,1188
126,888
127,1028
128,1607
129,1739
130,183
131,1976
132,1112
133,5719
134,691
135,3220
136,711
137,933
138,635
139,1747
140,900
141,3174
142,852
143,3936
144,2184
145,802
146,723
147,1850
148,412
149,655
150,2088
151,538
152,353
153,1110
154,339
155,633
156,1275
157,1738
158,2428
159,1581
160,225
161,1012
162,495
163,5079
164,3330
165,446
166,5506
167,1293
168,341
169,3950
170,360
171,1079
172,5941
173,612
174,3041
175,794
176,637
177,2145
178,4461
179,447
180,3188
181,647
182,0
183,114
184,869
185,701
186,4603
187,968
188,150
189,446
190,3816
191,291
192,4382
193,3634
194,714
195,39
196,5280
197,1044
198,161
199,1894
200,995
201,89
202,85
203,519
204,489
205,938
206,414
207,20
208,5914
209,898
210,4174
211,1190
212,3165
213,962
214,719
215,1174
216,2325
217,2634
218,173
219,4084
220,687
221,152
222,321
223,2698
224,4765
225,75
226,142
227,2
228,5377
229,281
230,2828
231,1849
232,3625
233,0
234,410
235,323
236,832
237,429
238,478
239,564
240,35
241,2964
242,1758
243,1703
244,177
245,457
246,50
247,840
248,5867
249,365
250,461
251,339
252,961
253,3247
254,354
255,200
256,343
257,700
258,74
259,3425
260,547
261,27
262,144
263,1073
264,532
265,524
266,2932
267,127
268,3411
269,918
270,408
271,658
272,1903
273,1151
274,409
275,931
276,440
277,1905
278,150
279,3003
280,337
281,135
282,3848
283,1695
284,237
285,240
286,4003
287,3337
288,299
289,597
290,514
291,3837
292,227
293,1431
294,3603
295,2528
296,137
297,884
298,92
299,219
300,59
301,74
302,4406
303,739
304,1466
305,406
306,2848
307,218
308,1599
309,332
310,165
311,329
312,3
313,46
314,4242
315,215
316,76
317,686
318,772
319,3101
320,4134
321,572
322,71
323,1553
324,4085
325,88
326,433
327,57
328,875
329,297
330,4220
331,4044
332,2343
333,846
334,674
335,431
336,203
337,528
338,276
339,426
340,573
341,815
342,844
343,5706
344,494
345,1662
346,188
347,5510
348,3318
349,4034
350,2018
351,2051
352,1147
353,44
354,1027
355,7
356,3079
357,1108
358,237
359,2603
360,1784
361,5294
362,798
363,1651
364,1496
365,2768
366,3017
367,2024
368,26
369,2020
370,109
371,2045
372,703
373,4196
374,1440
375,2411
376,679
377,2307
378,221
379,4056
380,3272
381,361
382,525
383,774
384,297
385,4437
386,3595
387,1265
388,2076
389,631
390,4018
391,28
392,165
393,3040
394,143
395,4997
396,75
397,4640
398,1385
399,945
400,191
401,804
402,952
403,745
404,2334
405,160
406,3310
407,80
408,349
409,953
410,718
411,4180
412,276
413,4389
414,380
415,254
416,689
417,74
418,998
419,2529
420,843
421,731
422,331
423,147
424,2934
425,567
426,2693
427,4345
428,622
429,2115
430,1934
431,797
432,4639
433,212
434,50
435,3506
436,1393
437,570
438,667
439,1379
440,496
441,207
442,801
443,169
444,2320
445,639
446,119
447,882
448,798
449,53
450,324
451,18
452,3674
453,2630
454,136
455,1007
456,4311
457,0
458,962
459,2397
460,807
461,498
462,3739
463,169
464,760
465,354
466,1173
467,113
468,5208
469,142
470,2864
471,190
472,508
473,655
474,1052
475,231
476,4108
477,106
478,1184
479,467
